2793
01-03-2010,33.45
02-03-2010,33.87
03-03-2010,33.62
04-03-2010,33.84
05-03-2010,34.08
08-03-2010,33.97
09-03-2010,34
10-03-2010,34.02
11-03-2010,33.7
12-03-2010,33.5
15-03-2010,33.44
16-03-2010,33.64
17-03-2010,34.5
18-03-2010,34.6
19-03-2010,34.4
22-03-2010,34.9
23-03-2010,35.22
24-03-2010,35.34
25-03-2010,35.76
26-03-2010,35.29
29-03-2010,35.68
30-03-2010,35.61
31-03-2010,35.86
01-04-2010,36.37
06-04-2010,36.04
07-04-2010,35.99
08-04-2010,35.94
09-04-2010,36
12-04-2010,36.04
13-04-2010,35.86
14-04-2010,36.3
15-04-2010,36.58
16-04-2010,36
19-04-2010,35.86
20-04-2010,36.19
21-04-2010,36.32
22-04-2010,36.4
23-04-2010,37
26-04-2010,37.34
27-04-2010,36.85
28-04-2010,35.77
29-04-2010,35.99
30-04-2010,36.23
03-05-2010,36.1
04-05-2010,35.75
05-05-2010,35.68
06-05-2010,35.62
07-05-2010,34.6
10-05-2010,35.46
11-05-2010,35.65
12-05-2010,36.05
13-05-2010,35.67
14-05-2010,35.15
17-05-2010,35.08
18-05-2010,35.41
19-05-2010,35.14
20-05-2010,34.86
21-05-2010,34.39
24-05-2010,34.49
25-05-2010,33.97
26-05-2010,34.48
27-05-2010,34.7
28-05-2010,34.69
31-05-2010,35.23
01-06-2010,35.84
02-06-2010,35.97
03-06-2010,36.55
04-06-2010,36.25
07-06-2010,36.15
08-06-2010,35.93
09-06-2010,36.24
10-06-2010,36.22
11-06-2010,36.3
14-06-2010,36.57
15-06-2010,36.7
16-06-2010,36.93
17-06-2010,37.44
18-06-2010,37.58
21-06-2010,37.58
22-06-2010,37.68
23-06-2010,37.48
24-06-2010,37.17
25-06-2010,37.13
28-06-2010,37.35
29-06-2010,36.8
30-06-2010,36.68
01-07-2010,36.44
02-07-2010,35.86
05-07-2010,35.7
06-07-2010,36.65
07-07-2010,36.97
08-07-2010,36.8
09-07-2010,37.22
12-07-2010,37.28
13-07-2010,37.46
14-07-2010,37.86
15-07-2010,37.5
16-07-2010,37.25
19-07-2010,37.2
20-07-2010,36.78
21-07-2010,36.8
22-07-2010,37.25
23-07-2010,37.35
26-07-2010,37.27
27-07-2010,36.43
28-07-2010,35.97
29-07-2010,35.5
30-07-2010,35.04
02-08-2010,35.42
03-08-2010,35
04-08-2010,35.4
05-08-2010,35.54
06-08-2010,35.03
09-08-2010,35.61
10-08-2010,35.54
11-08-2010,34.98
12-08-2010,34.97
13-08-2010,34.86
16-08-2010,34.91
17-08-2010,35.37
18-08-2010,35.32
19-08-2010,35.13
20-08-2010,35
23-08-2010,35.22
24-08-2010,34.92
25-08-2010,34.76
26-08-2010,34.73
27-08-2010,34.79
30-08-2010,34.65
31-08-2010,34.46
01-09-2010,35.19
02-09-2010,35.33
03-09-2010,35.69
06-09-2010,35.66
07-09-2010,35.3
08-09-2010,35.45
09-09-2010,36.36
10-09-2010,35.79
13-09-2010,36.1
14-09-2010,36.73
15-09-2010,36.59
16-09-2010,36.6
17-09-2010,36.96
20-09-2010,37.08
21-09-2010,37.09
22-09-2010,36.45
23-09-2010,36.64
24-09-2010,36.79
27-09-2010,36.97
28-09-2010,36.81
29-09-2010,36.48
30-09-2010,36.29
01-10-2010,36.59
04-10-2010,36.18
05-10-2010,36.74
06-10-2010,36.59
07-10-2010,36.6
08-10-2010,36.73
11-10-2010,36.86
12-10-2010,37.28
13-10-2010,37.95
14-10-2010,38.09
15-10-2010,38.16
18-10-2010,37.74
19-10-2010,37.35
20-10-2010,37.27
21-10-2010,37.7
22-10-2010,38.04
25-10-2010,38.18
26-10-2010,38.3
27-10-2010,37.23
28-10-2010,37.09
29-10-2010,37.47
01-11-2010,37.2
02-11-2010,37.39
03-11-2010,36.93
04-11-2010,37.08
05-11-2010,37.31
08-11-2010,37.28
09-11-2010,37.39
10-11-2010,37.04
11-11-2010,36.93
12-11-2010,36.74
15-11-2010,36.7
16-11-2010,36.2
17-11-2010,36.26
18-11-2010,36.67
19-11-2010,36.55
22-11-2010,36.26
23-11-2010,36.2
24-11-2010,35.84
25-11-2010,36.26
26-11-2010,36.51
29-11-2010,35.91
30-11-2010,35.94
01-12-2010,36.24
02-12-2010,36.3
03-12-2010,36.67
06-12-2010,36.62
07-12-2010,37
08-12-2010,36.67
09-12-2010,36.83
10-12-2010,36.9
13-12-2010,37.14
14-12-2010,37.34
15-12-2010,37.3
16-12-2010,37.4
17-12-2010,38
20-12-2010,37.7
21-12-2010,38.28
22-12-2010,38.22
23-12-2010,38.37
27-12-2010,38.3
28-12-2010,38.38
29-12-2010,38.4
30-12-2010,38.1
03-01-2011,38.22
04-01-2011,38.19
05-01-2011,38.12
06-01-2011,38.18
07-01-2011,38.08
10-01-2011,37.45
11-01-2011,38.62
12-01-2011,39.05
13-01-2011,40.4
14-01-2011,40.18
17-01-2011,40.86
18-01-2011,40.59
19-01-2011,40.57
20-01-2011,40.25
21-01-2011,40.13
24-01-2011,40.47
25-01-2011,40.57
26-01-2011,41.13
27-01-2011,41.77
28-01-2011,42.15
31-01-2011,42.22
01-02-2011,42.55
02-02-2011,43.01
03-02-2011,42.87
04-02-2011,43.21
07-02-2011,43.55
08-02-2011,43.41
09-02-2011,43.28
10-02-2011,43.7
11-02-2011,44.37
14-02-2011,44.67
15-02-2011,43.85
16-02-2011,44.45
17-02-2011,44.51
18-02-2011,44.24
21-02-2011,43.32
22-02-2011,43.72
23-02-2011,43.12
24-02-2011,42.88
25-02-2011,43.33
28-02-2011,43.72
01-03-2011,43.7
02-03-2011,43.67
03-03-2011,44.1
04-03-2011,44.05
07-03-2011,43.77
08-03-2011,43.37
09-03-2011,42.72
10-03-2011,43.15
11-03-2011,42.33
14-03-2011,41.82
15-03-2011,40.41
16-03-2011,39.6
17-03-2011,40.08
18-03-2011,40.73
21-03-2011,41.21
22-03-2011,40.89
23-03-2011,41.01
24-03-2011,42.16
25-03-2011,42.95
28-03-2011,42.91
29-03-2011,42.95
30-03-2011,43.49
31-03-2011,43.2
01-04-2011,43.76
04-04-2011,43.8
05-04-2011,44.2
06-04-2011,43.82
07-04-2011,43.8
08-04-2011,44.19
11-04-2011,44.3
12-04-2011,43.5
13-04-2011,44.05
14-04-2011,44
15-04-2011,44.42
18-04-2011,43.79
19-04-2011,44.27
20-04-2011,44.97
21-04-2011,45.85
26-04-2011,45.9
27-04-2011,45.68
28-04-2011,43.09
29-04-2011,43.5
02-05-2011,43.92
03-05-2011,43.75
04-05-2011,43.2
05-05-2011,42.97
06-05-2011,43.39
09-05-2011,43.69
10-05-2011,44.26
11-05-2011,44.62
12-05-2011,44.56
13-05-2011,44.49
16-05-2011,44.4
17-05-2011,43.6
18-05-2011,43.75
19-05-2011,44.09
20-05-2011,43.6
23-05-2011,42.93
24-05-2011,42.98
25-05-2011,43.11
26-05-2011,42.27
27-05-2011,42.32
30-05-2011,42.55
31-05-2011,43.17
01-06-2011,42.89
02-06-2011,42
03-06-2011,42.17
06-06-2011,42.07
07-06-2011,42.19
08-06-2011,41.73
09-06-2011,42.22
10-06-2011,41.75
13-06-2011,41.89
14-06-2011,42.79
15-06-2011,42.21
16-06-2011,42.14
17-06-2011,42.33
20-06-2011,42.34
21-06-2011,43.05
22-06-2011,42.34
23-06-2011,41.25
24-06-2011,41.09
27-06-2011,41.09
28-06-2011,41.07
29-06-2011,41.33
30-06-2011,41.75
01-07-2011,41.8
04-07-2011,42
05-07-2011,42.03
06-07-2011,42.09
07-07-2011,43.55
08-07-2011,43.04
11-07-2011,42.53
