2010.0413,35.86
2010.0414,36.3
2010.0415,36.58
2010.0416,36
2010.0419,35.86
2010.042,36.19
2010.0421,36.32
2010.0422,36.4
2010.0423,37
2010.0426,37.34
2010.0427,36.85
2010.0428,35.77
2010.0429,35.99
2010.043,36.23
2010.0503,36.1
2010.0504,35.75
2010.0505,35.68
2010.0506,35.62
2010.0507,34.6
2010.051,35.46
2010.0511,35.65
2010.0512,36.05
2010.0513,35.67
2010.0514,35.15
2010.0517,35.08
2010.0518,35.41
2010.0519,35.14
2010.052,34.86
2010.0521,34.39
2010.0524,34.49
2010.0525,33.97
2010.0526,34.48
2010.0527,34.7
2010.0528,34.69
2010.0531,35.23
2010.0601,35.84
2010.0602,35.97
2010.0603,36.55
2010.0604,36.25
2010.0607,36.15
2010.0608,35.93
2010.0609,36.24
2010.061,36.22
2010.0611,36.3
2010.0614,36.57
2010.0615,36.7
2010.0616,36.93
2010.0617,37.44
2010.0618,37.58
2010.0621,37.58
2010.0622,37.68
2010.0623,37.48
2010.0624,37.17
2010.0625,37.13
2010.0628,37.35
2010.0629,36.8
2010.063,36.68
2010.0701,36.44
2010.0702,35.86
2010.0705,35.7
2010.0706,36.65
2010.0707,36.97
2010.0708,36.8
2010.0709,37.22
2010.0712,37.28
2010.0713,37.46
2010.0714,37.86
2010.0715,37.5
2010.0716,37.25
2010.0719,37.2
2010.072,36.78
2010.0721,36.8
2010.0722,37.25
2010.0723,37.35
2010.0726,37.27
2010.0727,36.43
2010.0728,35.97
2010.0729,35.5
2010.073,35.04
2010.0802,35.42
2010.0803,35
2010.0804,35.4
2010.0805,35.54
2010.0806,35.03
2010.0809,35.61
2010.081,35.54
2010.0811,34.98
2010.0812,34.97
2010.0813,34.86
2010.0816,34.91
2010.0817,35.37
2010.0818,35.32
2010.0819,35.13
2010.082,35
2010.0823,35.22
2010.0824,34.92
2010.0825,34.76
2010.0826,34.73
2010.0827,34.79
2010.083,34.65
2010.0831,34.46
2010.0901,35.19
2010.0902,35.33
2010.0903,35.69
2010.0906,35.66
2010.0907,35.3
2010.0908,35.45
2010.0909,36.36
2010.091,35.79
2010.0913,36.1
2010.0914,36.73
2010.0915,36.59
2010.0916,36.6
2010.0917,36.96
2010.092,37.08
2010.0921,37.09
2010.0922,36.45
2010.0923,36.64
2010.0924,36.79
2010.0927,36.97
2010.0928,36.81
2010.0929,36.48
2010.093,36.29
2010.1001,36.59
2010.1004,36.18
2010.1005,36.74
2010.1006,36.59
2010.1007,36.6
2010.1008,36.73
2010.1011,36.86
2010.1012,37.28
2010.1013,37.95
2010.1014,38.09
2010.1015,38.16
2010.1018,37.74
2010.1019,37.35
2010.102,37.27
2010.1021,37.7
2010.1022,38.04
2010.1025,38.18
2010.1026,38.3
2010.1027,37.23
2010.1028,37.09
2010.1029,37.47
2010.1101,37.2
2010.1102,37.39
2010.1103,36.93
2010.1104,37.08
2010.1105,37.31
2010.1108,37.28
2010.1109,37.39
2010.111,37.04
2010.1111,36.93
2010.1112,36.74
2010.1115,36.7
2010.1116,36.2
2010.1117,36.26
2010.1118,36.67
2010.1119,36.55
2010.1122,36.26
2010.1123,36.2
2010.1124,35.84
2010.1125,36.26
2010.1126,36.51
2010.1129,35.91
2010.113,35.94
2010.1201,36.24
2010.1202,36.3
2010.1203,36.67
2010.1206,36.62
2010.1207,37
2010.1208,36.67
2010.1209,36.83
2010.121,36.9
2010.1213,37.14
2010.1214,37.34
2010.1215,37.3
2010.1216,37.4
2010.1217,38
2010.122,37.7
2010.1221,38.28
2010.1222,38.22
2010.1223,38.37
2010.1227,38.3
2010.1228,38.38
2010.1229,38.4
2010.123,38.1
2011.0103,38.22
2011.0104,38.19
2011.0105,38.12
2011.0106,38.18
2011.0107,38.08
2011.011,37.45
2011.0111,38.62
2011.0112,39.05
2011.0113,40.4
2011.0114,40.18
2011.0117,40.86
2011.0118,40.59
2011.0119,40.57
2011.012,40.25
2011.0121,40.13
2011.0124,40.47
2011.0125,40.57
2011.0126,41.13
2011.0127,41.77
2011.0128,42.15
2011.0131,42.22
2011.0201,42.55
2011.0202,43.01
2011.0203,42.87
2011.0204,43.21
2011.0207,43.55
2011.0208,43.41
2011.0209,43.28
2011.021,43.7
2011.0211,44.37
2011.0214,44.67
2011.0215,43.85
2011.0216,44.45
2011.0217,44.51
2011.0218,44.24
2011.0221,43.32
2011.0222,43.72
2011.0223,43.12
2011.0224,42.88
2011.0225,43.33
2011.0228,43.72
2011.0301,43.7
2011.0302,43.67
2011.0303,44.1
2011.0304,44.05
2011.0307,43.77
2011.0308,43.37
2011.0309,42.72
2011.031,43.15
2011.0311,42.33
2011.0314,41.82
2011.0315,40.41
2011.0316,39.6
2011.0317,40.08
2011.0318,40.73
2011.0321,41.21
2011.0322,40.89
2011.0323,41.01
2011.0324,42.16
2011.0325,42.95
2011.0328,42.91
2011.0329,42.95
2011.033,43.49
2011.0331,43.2
2011.0401,43.76
2011.0404,43.8
2011.0405,44.2
2011.0406,43.82
2011.0407,43.8
2011.0408,44.19
2011.0411,44.3
2011.0412,43.5
2011.0413,44.05
2011.0414,44
2011.0415,44.42
2011.0418,43.79
2011.0419,44.27
2011.042,44.97
2011.0421,45.85
2011.0426,45.9
2011.0427,45.68
2011.0428,43.09
2011.0429,43.5
2011.0502,43.92
2011.0503,43.75
2011.0504,43.2
2011.0505,42.97
2011.0506,43.39
2011.0509,43.69
